selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,source_component,archive_transcript_member,transcript_relative_path,transcript_file_sha256,transcript_size_bytes,text_hash,canonical_text_hash,normalized_utf8_bytes,normalized_characters,status
566,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_90_352,v4:kk:Train/radio/01_90_352,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_90_352.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_90_352.txt,9d29daa1337e15d6ad6da09ba1e30b5e7910fd8691cdf62003f20d68391f2278,54,9d29daa1337e15d6ad6da09ba1e30b5e7910fd8691cdf62003f20d68391f2278,9d29daa1337e15d6ad6da09ba1e30b5e7910fd8691cdf62003f20d68391f2278,54,29,verified_for_synthesis
567,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/04_04_350,v4:kk:Train/podcasts/04_04_350,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/04_04_350.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/04_04_350.txt,11216243378be1a99960b104560a74eec153f24c94447bcf9a9d986e02d5fe70,119,11216243378be1a99960b104560a74eec153f24c94447bcf9a9d986e02d5fe70,11216243378be1a99960b104560a74eec153f24c94447bcf9a9d986e02d5fe70,119,64,verified_for_synthesis
568,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_23_073,v4:kk:Train/parliament/senate_23_073,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_23_073.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_23_073.txt,cb51d7e8106578cce3b56749ff3813ff702533dfeb8b50f9043a60986d570f1d,371,cb51d7e8106578cce3b56749ff3813ff702533dfeb8b50f9043a60986d570f1d,cb51d7e8106578cce3b56749ff3813ff702533dfeb8b50f9043a60986d570f1d,371,196,verified_for_synthesis
569,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fa2e8dd83fa9,v4:kk:Train/tv_news/5fa2e8dd83fa9,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fa2e8dd83fa9.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fa2e8dd83fa9.txt,64556ff1730f064f83b70d7b220e5f11bbc06f73bfce80d75a07b890e56bbd50,217,64556ff1730f064f83b70d7b220e5f11bbc06f73bfce80d75a07b890e56bbd50,64556ff1730f064f83b70d7b220e5f11bbc06f73bfce80d75a07b890e56bbd50,217,115,verified_for_synthesis
570,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_55_352,v4:kk:Train/radio/01_55_352,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_55_352.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_55_352.txt,128f8fcb21cc0dcc595e3843e4dac5b27c559d5cbcf8016b2b4f49ee5d02509a,47,128f8fcb21cc0dcc595e3843e4dac5b27c559d5cbcf8016b2b4f49ee5d02509a,128f8fcb21cc0dcc595e3843e4dac5b27c559d5cbcf8016b2b4f49ee5d02509a,47,25,verified_for_synthesis
571,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_14_212,v4:kk:Train/radio/01_14_212,kk-mms-kaz-v1,mms_vits_tts,Train/radio,ISSAI_KSC2/Train/radio/01_14_212.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_14_212.txt,d9728335d75ee3f6cd115b504c9ea6905ffdd2410a99a6ee860b45e9172e7397,83,d9728335d75ee3f6cd115b504c9ea6905ffdd2410a99a6ee860b45e9172e7397,d9728335d75ee3f6cd115b504c9ea6905ffdd2410a99a6ee860b45e9172e7397,83,45,verified_for_synthesis
572,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_73_345,v4:kk:Train/radio/01_73_345,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_73_345.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_73_345.txt,f537658466f4634da8854c8f47180e6d5b86ffb8585d86ae323ecd75d672fc8f,65,f537658466f4634da8854c8f47180e6d5b86ffb8585d86ae323ecd75d672fc8f,f537658466f4634da8854c8f47180e6d5b86ffb8585d86ae323ecd75d672fc8f,65,35,verified_for_synthesis
573,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/03_59_83,v4:kk:Train/podcasts/03_59_83,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/03_59_83.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/03_59_83.txt,f003bc0af91c1e6577d3fd72e8de573fc8686eb5a4659277c47fa49fbfce0f51,68,f003bc0af91c1e6577d3fd72e8de573fc8686eb5a4659277c47fa49fbfce0f51,f003bc0af91c1e6577d3fd72e8de573fc8686eb5a4659277c47fa49fbfce0f51,68,36,verified_for_synthesis
574,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fa2e8c9e8345,v4:kk:Train/tv_news/5fa2e8c9e8345,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fa2e8c9e8345.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fa2e8c9e8345.txt,ee4eef901b7691285f7561488b80afad7d37692996f1e04f473c2c6a793236dc,132,ee4eef901b7691285f7561488b80afad7d37692996f1e04f473c2c6a793236dc,ee4eef901b7691285f7561488b80afad7d37692996f1e04f473c2c6a793236dc,132,70,verified_for_synthesis
575,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_03_071,v4:kk:Train/podcasts/01_03_071,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/01_03_071.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/01_03_071.txt,bbb5680bb4612ef614bef09991733c85120c26e3bb5a66cdf440b5ea42cd4bd5,94,bbb5680bb4612ef614bef09991733c85120c26e3bb5a66cdf440b5ea42cd4bd5,bbb5680bb4612ef614bef09991733c85120c26e3bb5a66cdf440b5ea42cd4bd5,94,50,verified_for_synthesis
576,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71d104e688f,v4:kk:Train/tv_news/5f71d104e688f,kk-piper-issai-high-v1,piper_neural_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f71d104e688f.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f71d104e688f.txt,50c17bda3bcddbc5e61b8a605baba0e37ceb426f95b511760dd70c8991aba305,40,50c17bda3bcddbc5e61b8a605baba0e37ceb426f95b511760dd70c8991aba305,50c17bda3bcddbc5e61b8a605baba0e37ceb426f95b511760dd70c8991aba305,40,21,verified_for_synthesis
577,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f834ee68eae2,v4:kk:Train/tv_news/5f834ee68eae2,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f834ee68eae2.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f834ee68eae2.txt,f9ba169c90ba61eb19792f2a83657391be9b4a0fe8029160343148b377004a9b,235,f9ba169c90ba61eb19792f2a83657391be9b4a0fe8029160343148b377004a9b,f9ba169c90ba61eb19792f2a83657391be9b4a0fe8029160343148b377004a9b,235,125,verified_for_synthesis
578,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_50_313,v4:kk:Train/radio/01_50_313,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_50_313.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_50_313.txt,75f5514cfe72516cf33e30a35a4e4129a612ecfa084aea68832e3d727d0851b9,180,75f5514cfe72516cf33e30a35a4e4129a612ecfa084aea68832e3d727d0851b9,75f5514cfe72516cf33e30a35a4e4129a612ecfa084aea68832e3d727d0851b9,180,98,verified_for_synthesis
579,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_27_453,v4:kk:Train/parliament/mazhilis_27_453,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_27_453.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_27_453.txt,7cc7ef707135dae236619e6639885a425cd330829a31ce3cab9a6884fe5bdac2,110,7cc7ef707135dae236619e6639885a425cd330829a31ce3cab9a6884fe5bdac2,7cc7ef707135dae236619e6639885a425cd330829a31ce3cab9a6884fe5bdac2,110,59,verified_for_synthesis
580,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_77_388,v4:kk:Train/talkshow/01_77_388,kk-piper-issai-high-v1,piper_neural_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_77_388.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_77_388.txt,12f2151203399db01e6c94d0aed2189b24dde71e1685e3caa728bddd819558f2,30,12f2151203399db01e6c94d0aed2189b24dde71e1685e3caa728bddd819558f2,12f2151203399db01e6c94d0aed2189b24dde71e1685e3caa728bddd819558f2,30,16,verified_for_synthesis
581,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_26_295,v4:kk:Train/radio/01_26_295,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/radio,ISSAI_KSC2/Train/radio/01_26_295.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_26_295.txt,cd69575b0ee2131d52ebeb9198da73f2743a7eeda1b60c34893909243a65c0a6,268,cd69575b0ee2131d52ebeb9198da73f2743a7eeda1b60c34893909243a65c0a6,cd69575b0ee2131d52ebeb9198da73f2743a7eeda1b60c34893909243a65c0a6,268,143,verified_for_synthesis
582,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_70_415,v4:kk:Train/radio/01_70_415,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_70_415.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_70_415.txt,5ddd9f0d64e21303e5b6c547b1cdfd5fd9db1df23aa132276a8bc8b76d5e22b2,194,5ddd9f0d64e21303e5b6c547b1cdfd5fd9db1df23aa132276a8bc8b76d5e22b2,5ddd9f0d64e21303e5b6c547b1cdfd5fd9db1df23aa132276a8bc8b76d5e22b2,194,105,verified_for_synthesis
583,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/06_01_181,v4:kk:Train/podcasts/06_01_181,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/06_01_181.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/06_01_181.txt,89feefeb4b4634b40180a3f26a4ee4f319acffcd90df389b57770b8000cca522,98,89feefeb4b4634b40180a3f26a4ee4f319acffcd90df389b57770b8000cca522,89feefeb4b4634b40180a3f26a4ee4f319acffcd90df389b57770b8000cca522,98,53,verified_for_synthesis
584,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_77_125,v4:kk:Train/radio/01_77_125,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_77_125.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_77_125.txt,95b75ba5bf873fc4ebe9b1c372df712e399973356b607e4137372a9ec517ecbb,19,95b75ba5bf873fc4ebe9b1c372df712e399973356b607e4137372a9ec517ecbb,95b75ba5bf873fc4ebe9b1c372df712e399973356b607e4137372a9ec517ecbb,19,10,verified_for_synthesis
585,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_05_019,v4:kk:Train/talkshow/01_05_019,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_05_019.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_05_019.txt,b6e13de22a5efe34cde9b2caa09e936528ed4df89f3790326df6e239027f2168,111,b6e13de22a5efe34cde9b2caa09e936528ed4df89f3790326df6e239027f2168,b6e13de22a5efe34cde9b2caa09e936528ed4df89f3790326df6e239027f2168,111,59,verified_for_synthesis
586,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_50_079,v4:kk:Train/talkshow/01_50_079,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_50_079.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_50_079.txt,7918c8d87029d32f109cf92a4cbbc11deff2c25cea25ebc6a2460a6e078a428d,46,7918c8d87029d32f109cf92a4cbbc11deff2c25cea25ebc6a2460a6e078a428d,7918c8d87029d32f109cf92a4cbbc11deff2c25cea25ebc6a2460a6e078a428d,46,25,verified_for_synthesis
587,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/06_08_362,v4:kk:Train/podcasts/06_08_362,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/06_08_362.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/06_08_362.txt,32d532146673cf10d0942959c11084bcc33079a6629217b66b35ba60eb59f449,300,32d532146673cf10d0942959c11084bcc33079a6629217b66b35ba60eb59f449,32d532146673cf10d0942959c11084bcc33079a6629217b66b35ba60eb59f449,300,158,verified_for_synthesis
588,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_08_335,v4:kk:Train/parliament/senate_08_335,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_08_335.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_08_335.txt,9fc4eddc75c67823859e3d03ab3d280c630f8a5885d69fa8890cc20fc2ebc58e,129,9fc4eddc75c67823859e3d03ab3d280c630f8a5885d69fa8890cc20fc2ebc58e,9fc4eddc75c67823859e3d03ab3d280c630f8a5885d69fa8890cc20fc2ebc58e,129,68,verified_for_synthesis
589,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_27_343,v4:kk:Train/parliament/mazhilis_27_343,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_27_343.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_27_343.txt,d44b51891712b3f97cd1bb99a99178db3405cdbb94fd7d35017db83827a3f04f,252,d44b51891712b3f97cd1bb99a99178db3405cdbb94fd7d35017db83827a3f04f,d44b51891712b3f97cd1bb99a99178db3405cdbb94fd7d35017db83827a3f04f,252,136,verified_for_synthesis
590,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_20_048,v4:kk:Train/talkshow/01_20_048,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_20_048.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_20_048.txt,4e53f97dfbc850082d59461cb079d1a7f08fa5ab6061d899f377e9c242ebbb1a,49,4e53f97dfbc850082d59461cb079d1a7f08fa5ab6061d899f377e9c242ebbb1a,4e53f97dfbc850082d59461cb079d1a7f08fa5ab6061d899f377e9c242ebbb1a,49,26,verified_for_synthesis
591,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_05_124,v4:kk:Train/parliament/senate_05_124,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_05_124.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_05_124.txt,104e39cc37cc0a05041723d3c9118f03b1d0eaa8a6a40271ff34705dd0ac90fc,146,104e39cc37cc0a05041723d3c9118f03b1d0eaa8a6a40271ff34705dd0ac90fc,104e39cc37cc0a05041723d3c9118f03b1d0eaa8a6a40271ff34705dd0ac90fc,146,79,verified_for_synthesis
592,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_65_432,v4:kk:Train/radio/01_65_432,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_65_432.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_65_432.txt,f7e380158ca21332f96c4d8c7e5d8f94d274b230e4fc4f9a1c419477e96ee0c9,136,f7e380158ca21332f96c4d8c7e5d8f94d274b230e4fc4f9a1c419477e96ee0c9,f7e380158ca21332f96c4d8c7e5d8f94d274b230e4fc4f9a1c419477e96ee0c9,136,73,verified_for_synthesis
593,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/03_46_367,v4:kk:Train/podcasts/03_46_367,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/03_46_367.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/03_46_367.txt,df13b7e93ba1187356d1506d2791bdc1f824aa49e0d56969ab2d073e5a5f4ad8,121,df13b7e93ba1187356d1506d2791bdc1f824aa49e0d56969ab2d073e5a5f4ad8,df13b7e93ba1187356d1506d2791bdc1f824aa49e0d56969ab2d073e5a5f4ad8,121,66,verified_for_synthesis
594,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/06_00_01,v4:kk:Train/podcasts/06_00_01,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/06_00_01.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/06_00_01.txt,fcff4d83ee9ee30f71dcf7556197a444eebc124e82df49769053e2d8f856dd0e,66,fcff4d83ee9ee30f71dcf7556197a444eebc124e82df49769053e2d8f856dd0e,fcff4d83ee9ee30f71dcf7556197a444eebc124e82df49769053e2d8f856dd0e,66,35,verified_for_synthesis
595,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_84_247,v4:kk:Train/radio/01_84_247,kk-mms-kaz-v1,mms_vits_tts,Train/radio,ISSAI_KSC2/Train/radio/01_84_247.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_84_247.txt,64b2385b0e1a0c363926dd6a4f815f9e98804b5f6ceec545ad8fe682808d0df7,247,64b2385b0e1a0c363926dd6a4f815f9e98804b5f6ceec545ad8fe682808d0df7,64b2385b0e1a0c363926dd6a4f815f9e98804b5f6ceec545ad8fe682808d0df7,247,134,verified_for_synthesis
596,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_33_450,v4:kk:Train/talkshow/01_33_450,kk-piper-issai-high-v1,piper_neural_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_33_450.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_33_450.txt,c4959aaede38eb2b02bf3b7853ffe3d1356354fa9b22155ea65ee4e9a52b39e9,53,c4959aaede38eb2b02bf3b7853ffe3d1356354fa9b22155ea65ee4e9a52b39e9,c4959aaede38eb2b02bf3b7853ffe3d1356354fa9b22155ea65ee4e9a52b39e9,53,28,verified_for_synthesis
597,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a63ca45cd,v4:kk:Train/tv_news/5fe2a63ca45cd,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fe2a63ca45cd.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fe2a63ca45cd.txt,a87d18ae9025eb3794b0208ddf365b4bc300eceda45acc0166d201ef6290a69f,238,a87d18ae9025eb3794b0208ddf365b4bc300eceda45acc0166d201ef6290a69f,a87d18ae9025eb3794b0208ddf365b4bc300eceda45acc0166d201ef6290a69f,238,126,verified_for_synthesis
598,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_42_063,v4:kk:Train/radio/01_42_063,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_42_063.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_42_063.txt,deeb0fe82dfa82ccd0a2bffbbc2b883bae18c05ee4b381c4064fa2ecfb7fafe8,53,deeb0fe82dfa82ccd0a2bffbbc2b883bae18c05ee4b381c4064fa2ecfb7fafe8,deeb0fe82dfa82ccd0a2bffbbc2b883bae18c05ee4b381c4064fa2ecfb7fafe8,53,28,verified_for_synthesis
599,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_49_158,v4:kk:Train/radio/01_49_158,kk-mms-kaz-v1,mms_vits_tts,Train/radio,ISSAI_KSC2/Train/radio/01_49_158.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_49_158.txt,7619dddeabe8e9b8be41ff13fb098b2f6b0b518a339a112e388c9690902d532a,42,7619dddeabe8e9b8be41ff13fb098b2f6b0b518a339a112e388c9690902d532a,7619dddeabe8e9b8be41ff13fb098b2f6b0b518a339a112e388c9690902d532a,42,23,verified_for_synthesis
600,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/6023daa62bf62,v4:kk:Train/tv_news/6023daa62bf62,kk-piper-issai-high-v1,piper_neural_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/6023daa62bf62.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/6023daa62bf62.txt,b139f7e7bd3625898a5111075b56ab6bee2ce26dc1694235326f0ba34d0eaee2,15,b139f7e7bd3625898a5111075b56ab6bee2ce26dc1694235326f0ba34d0eaee2,b139f7e7bd3625898a5111075b56ab6bee2ce26dc1694235326f0ba34d0eaee2,15,8,verified_for_synthesis
601,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_79_234,v4:kk:Train/radio/01_79_234,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/radio,ISSAI_KSC2/Train/radio/01_79_234.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_79_234.txt,01e9bfbd8781588b4564ef3aa985ab1e0c65998f04e0ebaae7185df8e83613d4,118,01e9bfbd8781588b4564ef3aa985ab1e0c65998f04e0ebaae7185df8e83613d4,01e9bfbd8781588b4564ef3aa985ab1e0c65998f04e0ebaae7185df8e83613d4,118,64,verified_for_synthesis
602,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_43_190,v4:kk:Train/radio/01_43_190,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_43_190.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_43_190.txt,df464c79efd96b9c262b9867f4fa2acd038ddc6f9dcc09c7b3e602bb90317ff1,111,df464c79efd96b9c262b9867f4fa2acd038ddc6f9dcc09c7b3e602bb90317ff1,df464c79efd96b9c262b9867f4fa2acd038ddc6f9dcc09c7b3e602bb90317ff1,111,59,verified_for_synthesis
603,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_59_285,v4:kk:Train/talkshow/01_59_285,kk-mms-kaz-v1,mms_vits_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_59_285.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_59_285.txt,c86654214d6f79e68899d6293ebf5186e0aeceda8805cae2805cb8f60a639d4d,38,c86654214d6f79e68899d6293ebf5186e0aeceda8805cae2805cb8f60a639d4d,c86654214d6f79e68899d6293ebf5186e0aeceda8805cae2805cb8f60a639d4d,38,20,verified_for_synthesis
604,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f834d877d70f,v4:kk:Train/tv_news/5f834d877d70f,kk-piper-issai-high-v1,piper_neural_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f834d877d70f.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f834d877d70f.txt,f546b7608bd9b51aa698f5604dbece7bf7ccfa384c02256af092967c03fb3b0e,216,f546b7608bd9b51aa698f5604dbece7bf7ccfa384c02256af092967c03fb3b0e,f546b7608bd9b51aa698f5604dbece7bf7ccfa384c02256af092967c03fb3b0e,216,116,verified_for_synthesis
605,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_00_252,v4:kk:Train/podcasts/08_00_252,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/08_00_252.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/08_00_252.txt,92ef517fedc84e5cf9451fa02aa65a9bc71700157ae5a31756fd3349bf4c74f5,179,92ef517fedc84e5cf9451fa02aa65a9bc71700157ae5a31756fd3349bf4c74f5,92ef517fedc84e5cf9451fa02aa65a9bc71700157ae5a31756fd3349bf4c74f5,179,98,verified_for_synthesis
606,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fa2e8440f4d7,v4:kk:Train/tv_news/5fa2e8440f4d7,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fa2e8440f4d7.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fa2e8440f4d7.txt,60dae775e44c431f2bdd4db1941078a4089734ad990b45a1b50fbef99faeca27,109,60dae775e44c431f2bdd4db1941078a4089734ad990b45a1b50fbef99faeca27,60dae775e44c431f2bdd4db1941078a4089734ad990b45a1b50fbef99faeca27,109,58,verified_for_synthesis
607,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_22_033,v4:kk:Train/parliament/senate_22_033,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_22_033.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_22_033.txt,814a001da2140018019df755e3d72cb2a848cba538c7cdb938e3eb873c1a0f7c,156,814a001da2140018019df755e3d72cb2a848cba538c7cdb938e3eb873c1a0f7c,814a001da2140018019df755e3d72cb2a848cba538c7cdb938e3eb873c1a0f7c,156,82,verified_for_synthesis
608,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71cfdde131c,v4:kk:Train/tv_news/5f71cfdde131c,kk-piper-issai-high-v1,piper_neural_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f71cfdde131c.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f71cfdde131c.txt,27c562038443b4775d22007a8c1fbe06ca366e3a25cfc351dddc93e0382201c9,101,27c562038443b4775d22007a8c1fbe06ca366e3a25cfc351dddc93e0382201c9,27c562038443b4775d22007a8c1fbe06ca366e3a25cfc351dddc93e0382201c9,101,53,verified_for_synthesis
609,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_05_017,v4:kk:Train/podcasts/08_05_017,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/08_05_017.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/08_05_017.txt,0f4fff6813ad3e076f5be5d1864392b1ffd84cd3dcc41dd29502ddcc533c30b5,162,0f4fff6813ad3e076f5be5d1864392b1ffd84cd3dcc41dd29502ddcc533c30b5,0f4fff6813ad3e076f5be5d1864392b1ffd84cd3dcc41dd29502ddcc533c30b5,162,88,verified_for_synthesis
